Software,RP Name,Software's Web Page,Software Documentation,Tutorials,
7z,OOKAMI,https://www.7-zip.org/,,,
Abaqus,"Stampede-2, DARWIN, Rockfish",https://www.3ds.com/products-services/simulia/products/abaqus,,,
abinit,"Bridges-2, Rockfish",https://www.abinit.org/,https://docs.abinit.org/,https://docs.abinit.org/tutorial/,
Abseil,ACES,https://abseil.io/,https://abseil.io/docs/cpp/guides/,"https://abseil.io/docs/cpp/quickstart , https://abseil.io/tips/",
ABySS,Bridges-2,https://www.bcgsc.ca/platform/bioinfo/software/abyss,https://www.bcgsc.ca/platform/bioinfo/software/abyss,https://github.com/bcgsc/abyss#assembly-walkthrough,
accessusage,"Expanse, Delta",,,,No file
ACTC,ACES,https://sourceforge.net/projects/actc/,https://sourceforge.net/p/actc/wiki/Documents/,https://www.gamedev.net/articles/programming/graphics/actc-tutorial---balancing-triangle-strips-r1974/,
adcirc,Stampede-2,https://adcirc.org/,https://adcirc.org/home/documentation/users-manuals-compile-options-faqs-wiki/,,
advisor,"Stampede-2, KyRIC",https://www.intel.com/content/www/us/en/developer/tools/oneapi/advisor.html#gs.5i029o,https://www.intel.com/content/www/us/en/docs/advisor/user-guide/2023-0/overview.html,,
AI,Bridges-2,,,,No file
aiohttp,ACES,https://docs.aiohttp.org/en/stable/,https://docs.aiohttp.org/en/stable/,"https://aiohttp-demos.readthedocs.io/en/latest/tutorial.html , https://www.youtube.com/watch?v=Z784Mwm4VBg",
all-architectures,OOKAMI,,,,No file
alpha-analysis,Rockfish,,,,No file
AlphaFold,ACES,https://github.com/google-deepmind/alphafold,https://github.com/google-deepmind/alphafold,"https://github.com/sokrypton/ColabFold,https://github.com/google-deepmind/alphafold",
alphafold-gpu,Rockfish,,,,
alphapulldown,Rockfish,,,,
amask,Stampede-2,,,,
amber,"Bridges-2, Rockfish",https://ambermd.org/,https://ambermd.org/doc12/Amber20.pdf,"https://ambermd.org/tutorials/ , https://ambermd.org/GetAmber.php#htoc5",
AMDuProf,"Expanse, Delta",https://developer.amd.com/amd-uprof/,https://developer.amd.com/amd-uprof-user-guide/, https://www.amd.com/content/dam/amd/en/documents/developer/uprof-v4.0-gaGA-user-guide.pdf,
anaconda,"Jetstream2, OOKAMI, Anvil, DARWIN, Bridges-2, Rockfish",https://www.anaconda.com/,,"https://docs.anaconda.com/free/anaconda/getting-started/ , https://www.youtube.com/watch?v=YJC6ldI3hWk , https://www.datacamp.com/tutorial/installing-anaconda-mac-os-x , https://docs.anaconda.com/ae-notebooks/ ",
anaconda3,"Expanse, ACES, Rockfish",https://www.anaconda.com/download,https://docs.anaconda.com/free/anaconda/,"https://www.datacamp.com/tutorial/installing-anaconda-windows , https://docs.anaconda.com/free/anaconda/getting-started/",
anaconda3_cpu,Delta,,,,
anaconda3_gpu,Delta,,,,
anaconda3_mi100,Delta,,,,
anaconda3_Rcpu,Delta,,,,
AnnotSV,Rockfish,https://lbgi.fr/AnnotSV/,https://github.com/lgmgeo/AnnotSV,https://lbgi.fr/AnnotSV/tutorials,
ANSYS,"Stampede-2, Bridges-2, Rockfish",https://www.ansys.com/,https://www.ansys.com/academic/free-student-products,"https://www.pdfdrive.com/radio-detection-of-lat-psrs-j1741-2054-and-j2032-4127-no-longer-just-gamma-ray-pulsars-e34720714.html,https://forum.ansys.com/",
ANSYS-Fluent,DARWIN,,,,
ant,ACES,https://ant.apache.org/,https://ant.apache.org/manual/index.html,"https://www.tutorialspoint.com/ant/ant_quick_guide.htm , https://www.vogella.com/tutorials/ApacheAnt/article.html ",
ANTLR,ACES,https://www.antlr.org/,https://www.antlr.org/api/,https://tomassetti.me/antlr-mega-tutorial/,
aocc,"Expanse, OOKAMI, ACES, Delta",https://www.amd.com/en/developer/aocc.html,https://www.amd.com/en/developer.html,https://www.amd.com/en/developer/aocc.html,
AOCC Compiler,Jetstream2,,,,
AOCL,Bridges-2,https://www.amd.com/en/developer/aocl.html,https://www.amd.com/en/developer.html,,
Apptainer,Jetstream2,https://apptainer.org/,https://apptainer.org/documentation/,https://apptainer.org/get-started/,
APR,ACES,https://apr.apache.org/,https://apr.apache.org/docs/apr/2.0/,,
