Software,RP Name
7-zip,OOKAMI
Abaqus,"Stampede-2, DARWIN, Rockfish"
abinit,"Bridges-2, Rockfish"
Abseil,ACES
ABySS,Bridges-2
accessusage,"Expanse, Delta"
ACTC,ACES
adcirc,Stampede-2
advisor,"Stampede-2, KyRIC"
AI,Bridges-2
aiohttp,ACES
all-architectures,OOKAMI
alpha-analysis,Rockfish
AlphaFold,ACES
alphafold-gpu,Rockfish
alphapulldown,Rockfish
amask,Stampede-2
amber,"Bridges-2, Rockfish, Anvil"
AMDuProf,"Expanse, Delta"
anaconda,"Jetstream2, OOKAMI, Anvil, DARWIN, Bridges-2, Rockfish"
anaconda3,"Expanse, ACES, Rockfish"
anaconda3_cpu,Delta
anaconda3_gpu,Delta
anaconda3_mi100,Delta
anaconda3_Rcpu,Delta
AnnotSV,Rockfish
ANSYS,"Stampede-2, Bridges-2, Rockfish"
ANSYS-Fluent,DARWIN
ant,ACES
ANTLR,ACES
aocc,"Expanse, OOKAMI, ACES, Delta"
AOCC Compiler,Jetstream2
AOCL,Bridges-2
Apptainer,Jetstream2
APR,ACES
APR-util,ACES
ArcGIS,DARWIN
archspec,ACES
aria2,Expanse
arial2,Rockfish
arm,OOKAMI
arm-modules,OOKAMI
armadillo,"ACES, Delta, Rockfish"
arpack,Stampede-2
arpack-ng,"Anvil, ACES"
Arriba,Bridges-2
Arrow,ACES
asciinema,Bridges-2
ASE,ACES
aspect,Stampede-2
aspera-cli,Rockfish
Aspera-Connect,"Stampede-2, Rockfish"
Aspherix,Rockfish
at-spi2-atk,ACES
at-spi2-core,ACES
ATK,ACES
atlas,Rockfish
AUGUSTUS,Bridges-2
Autoconf,ACES
autoconf-2.69-gcc-9.3.0-u65r6re,KyRIC
autoconf-archive-2019.01.06-gcc-9.3.0-lrequrs,KyRIC
autodock,Rockfish
Automake,ACES
automake-1.16.3-gcc-9.3.0-gqwwc3j,KyRIC
autotools,"Stampede-2, KyRIC, ACES"
aws-cli,Anvil
BamTools,"ACES, Bridges-2, Rockfish"
banner,Delta
basemap,Stampede-2
basespace,Rockfish
bazel,"ACES, Rockfish"
bbftp,Anvil
bcftools,"Bridges-2, Rockfish"
bcl2fastq,Rockfish
