software name,RP Name,Description,core features,tags,software type,software class,research field,research area,research discipline,Software's Web Page,Software Documentation,Tutorials
libxslt,"aces, anvil, faster","Libxslt is the XSLT C library developed for the GNOME project. It is used for transforming XML documents into other formats using XSLT stylesheets. Libxslt is based on libxml2, the XML C parser and toolkit.","Transforming XML documents into different formats, XSLT processing, Integration with libxml2, Support for XPath and XSLT standards","XML, XSLT, C Library, Transformation",Data Processing,Library,Computer and Information Sciences,,,https://gitlab.gnome.org/GNOME/libxslt/-/wikis/home,https://gnome.pages.gitlab.gnome.org/libxslt/devhelp/general.html,"https://gnome.pages.gitlab.gnome.org/libxslt/tutorial/libxslttutorial.html , https://gnome.pages.gitlab.gnome.org/libxslt/tutorial2/libxslt_pipes.html "
p11-kit,"aces, faster","p11-kit is a library to manage PKCS#11 modules. It enables multiple applications to use the same PKCS#11 module in parallel, ensures that applications get access to the same serialized view of the module's state, and handles sharing access to the module state among applications.","Manages PKCS#11 modules, Enables multiple applications to use the same module, Provides a serialized view of the module's state, Handles sharing access to the module state among applications","library, PKCS#11, module management",Utility,Library,Computer and Information Sciences,,,,,
grass,"aces, faster","GRASS GIS (Geographic Resources Analysis Support System) is a free and open-source geographic information system (GIS) software suite used for geospatial data management and analysis, image processing, graphics/maps production, spatial modeling, and visualization.","Geospatial data management, Geospatial analysis, Image processing, Spatial modeling, Visualization","GIS, Geospatial Analysis, Image Processing, Spatial Modeling, Visualization",Geographic Information System (GIS),Geospatial software,Earth and Environmental Sciences,,,,,
advntr,anvil,Advntr (Adaptive Variant Detection in NGS data with trained Recurrent Neural Networks) is a software tool that utilizes deep learning techniques to identify genetic variants in next-generation sequencing (NGS) data. It employs trained recurrent neural networks to accurately and efficiently detect variants in DNA sequences.,"Utilizes deep learning methods for variant detection, Trained recurrent neural networks for improved accuracy, Works with next-generation sequencing (NGS) data, Efficient and fast variant detection process","NGS, Variant Detection, Deep Learning, DNA Sequencing",Bioinformatics,Genetic Variant Analysis,Biological Sciences,Genomics,Genetics,,,
libssh,faster,"libssh is a multiplatform C library implementing the SSHv2 protocol on client and server side. It provides a stable API, high performance, and is designed to be easy to use.","1. SSH client and server functionality
2. Support for various SSH protocols and key exchange algorithms
3. Integration with OpenSSL and mbedTLS
4. Session multiplexing
5. Portable and cross-platform
6. Easy-to-use API for developers","SSH, library, networking",Networking,Library,"Computer and Information Sciences, Other Computer and Information Sciences",,,,,
brass,anvil,"Brass is a circuit design and simulation software that allows users to create, edit, and simulate electronic circuits. It provides a user-friendly interface for designing and testing circuits for various applications.","Circuit design, Simulation, Electronic components library, User-friendly interface","Circuit Design, Electronic Simulation, Electronics",Circuit Design and Simulation,Simulation Software,Engineering and Technology,,,,,
lowcharts,bridges,"Lowcharts is a Python library for creating basic low-level charts with a simplistic and minimalistic interface. It aims to provide users with an easy-to-use tool for generating simple line charts, bar charts, and scatter plots.","1. Easy-to-use interface for creating basic charts.
2. Supports line charts, bar charts, and scatter plots.
3. Lightweight and minimalistic design.
4. Open-source and customizable.","Python Library, Data Visualization, Charting Library",Library,Visualization tool,Computer and Information Sciences,,,https://github.com/juan-leon/lowcharts,https://docs.rs/lowcharts/latest/lowcharts/all.html,https://docs.rs/lowcharts/latest/lowcharts/#getting-started
autodock-vina,faster,AutoDock Vina is a molecular docking software program used for predicting the preferred binding modes of small molecule ligands to target proteins. It is widely used in drug discovery and computational biology to study the interactions between ligands and protein targets.,"1. Predicting preferred binding modes of small molecules to target proteins
2. Optimizing ligand binding affinity
3. High performance and efficiency in docking simulations
4. User-friendly interface
5. Supports various file formats for input and output","molecular docking, drug discovery, computational biology, binding affinity prediction",Molecular Docking,Predictive Modeling,Biological Sciences,Structural Biology,Bioinformatics,,,
wtdbg,anvil,"Wtdbg is a bioinformatics software tool designed for the assembly, comparison, and analysis of long-read sequencing data. It is optimized for dealing with noisy and error-prone reads commonly produced by technologies like PacBio and Oxford Nanopore.","De novo assembly of long-read sequencing data, Error correction and consensus sequence generation, Visualization of assembly graphs and genomes, Comparative analysis of genomic data","Bioinformatics, Long-read sequencing, Assembly, Genomics",Bioinformatics Tool,Genome Assembly,Biological Sciences,Comparative Genomics,Genomics,,,
xcb-util-image,anvil,"The xcb-util-image library provides a number of functions used for manipulating and creating XCB format images, including loading and saving images to disk in various formats.","1. Load and save XCB format images in various file formats.
2. Manipulate XCB images using different operations.
3. Convert images between different formats supported by XCB.
4. Provides utility functions for working with XCB images.","image processing, XCB, library",Library,Utility Library,"Computer and Information Sciences, Computer Science",,,,,
nlohmann_json,"aces, faster",nlohmann_json is a JSON library for modern C++. It provides a simple and efficient way to work with JSON data in C++ programs.,"Parsing and serializing JSON data, Support for various data types including strings, numbers, arrays, and objects, Flexible and intuitive API, Header-only library for easy integration","JSON library, C++",Data Handling,Library,Computer and Information Sciences,,,https://github.com/nlohmann/json,https://json.nlohmann.me/api/basic_json/,"https://github.com/nlohmann/json#examples , https://nlohmann.github.io/json/home/faq/"
arm-gnu-toolchain,aces,"ARM GNU Toolchain is an open-source collection of programming tools for creating software on ARM architecture-based systems. It includes compilers, assemblers, linkers, and other tools necessary for software development.","Compilers for C, C++, and other languages, Assemblers and linkers for ARM architecture, Open-source and freely available, Support for various ARM processors and microcontrollers","software development, ARM architecture, compilers, open-source",Programming Tools,Development Tools,Computer and Information Sciences,"Software Engineering, Systems, and Development",Computer Science,,,
py-numexpr,expanse,"Numexpr is a fast numerical expression evaluator for NumPy. With it, expressions that operate on arrays (like 3*A+4*B) are accelerated and use less memory than doing the same calculation in Python.","1. Fast evaluation of array expressions
2. Use of less memory during calculations
3. Built for NumPy arrays
4. Supports multi-threading for parallel computation
5. Integration with other numerical libraries like SciPy","numerical computation, array calculations",Python library,Library,Computer and Information Sciences,,,,,
miniconda3,"aces, faster","Miniconda is a free minimal installer for conda. It is a package management system that simplifies the installation and management of software packages. Miniconda allows users to create environments containing dependencies from a specified list of packages, making it easier to manage different projects with conflicting package requirements.","Package management system, Environment creation and management, Dependency resolution","Package Management, Dependency Management, Software Installation",Package Manager,Environment and Package Management,Computer and Information Sciences,,,https://docs.anaconda.com/free/miniconda/,https://docs.conda.io/projects/conda/en/latest/dev-guide/index.html,"https://conda.io/projects/conda/en/latest/user-guide/getting-started.html , https://conda.io/projects/conda/en/latest/user-guide/tasks/manage-environments.html "
vasp6,expanse,Vienna Ab initio Simulation Package (VASP) is a package for performing ab initio quantum-mechanical molecular dynamics (MD) using pseudopotentials and a plane wave basis set.,"Ab initio quantum-mechanical molecular dynamics simulations, Pseudopotentials, Plane wave basis set","computational chemistry, molecular dynamics, quantum mechanics, materials science",Quantum Chemistry Software,Computational Software,Chemical Sciences,Materials Science,Physical Chemistry,,,
iml,aces,Interpretable Machine Learning,iml is an R package that enables interpretable machine learning for regression and classification models. It provides a suite of tools for understanding the predictions of machine learning models by creating interpretable explanations.,"machine learning, interpretability, model explanation",R Package,Machine Learning Interpretability,Computer and Information Sciences,,,,,
