Software,RP Name,Software Type,Software Class,Research Area,Research Discipline,Software Description,Software's Web Page,Software Documentation/Link,Example Software Use (link),Area-specific Examples,Containerized Version of Software,RP Documentations for Software,Pathing,RP Name,RP Full Software Doc
7z,OOKAMI,service,,,,7-Zip is a file archiver with a high compression ratio. Description Source=https://www.7-zip.org/,https://www.7-zip.org/,https://www.7-zip.org/,,,,,,ACES,https://hprc.tamu.edu/software/aces/
Abaqus,"Stampede-2, DARWIN, Rockfish",application,simulation,Engineering,Mechanical Engineering,"Abaqus is a software suite for finite element analysis and computer-aided engineering, primarily used in engineering and design fields for simulating the behavior of structures and materials under various conditions. It offers advanced capabilities for modeling, analysis, and visualization, making it a powerful tool for solving complex engineering challenges.",https://www.3ds.com/products/simulia/abaqus,http://130.149.89.49:2080/v6.14/,,,,DARWIN: https://docs.hpc.udel.edu/software/abaqus/abaqus,,Anvil,https://www.rcac.purdue.edu/index.php/knowledge/applications
abinit,"Bridges-2, Rockfish",application,materials science,Engineering,,"ABINIT is a software suite to calculate the optical, mechanical, vibrational, and other observable properties of materials. Starting from the quantum equations of density functional theory, you can build up to advanced applications with perturbation theories based on DFT, and many-body Green's functions (GW and DMFT). Description Source=https://www.abinit.org/",https://www.abinit.org/,https://docs.abinit.org/tutorial/,,,,,,Bridges2,https://www.psc.edu/resources/software/
Abseil,ACES,library,,,,Abseil is an open source collection of C++ libraries drawn from the most fundamental pieces of Google’s internal codebase. These libraries are the nuts-and-bolts that underpin almost everything Google runs. Description Source=https://abseil.io/about/,https://abseil.io/,https://abseil.io/docs/,,,,,,DARWIN,https://docs.hpc.udel.edu/software/software
ABySS,Bridges-2,application,bioinformatics,Sciences,Biology,"ABySS is a de novo, parallel, paired-end sequence assembler that is designed for short reads. The single-processor version is useful for assembling genomes up to 100 Mbases in size. The parallel version is implemented using MPI and is capable of assembling larger genomes. Description Source=https://www.bcgsc.ca/resources/software/abyss",https://www.bcgsc.ca/resources/software/abyss,,,,,,,Delta,https://docs.ncsa.illinois.edu/systems/delta/en/latest/user_guide/software.html#list-of-installed-software-cpu-gpu
accessusage,"Expanse, Delta",service,developer support,,,,,https://software.xsede.org/packaged-software/access-usage-accessusage,,,,,,Expanse,
ACTC,ACES,application,modeling,,,"ACTC is a graphics optimization tool that enhances the rendering efficiency of 3D models by restructuring their geometric data. It's particularly useful in applications using OpenGL and Direct3D, where it can significantly improve rendering speed and reduce computational load. Description Source=https://plunk.org/~grantham/public/actc/README",https://plunk.org/~grantham/public/actc/,https://plunk.org/~grantham/public/actc/manual.html,,,,,,FASTER,https://hprc.tamu.edu/software/faster/
adcirc,Stampede-2,application,"simulation, modeling",Engineering,Enginering,"ADCIRC is a system of computer programs for solving time dependent, free surface circulation and transport problems in two and three dimensions. Description Source=https://adcirc.org/",https://adcirc.org/,https://adcirc.org/home/documentation/users-manuals-compile-options-faqs-wiki/,,,,,,Jetstream2,https://docs.jetstream-cloud.org/general/software/
advisor,"Stampede-2, KyRIC",service,performance analysis,,,"Intel Advisor is a performance analysis tool designed to help developers optimize and parallelize their software on Intel architectures. It provides insights for efficient vectorization, threading, and offloading to accelerators, aiding in achieving maximum performance from applications.",https://www.intel.com/content/www/us/en/developer/tools/oneapi/advisor.html,https://www.intel.com/content/www/us/en/docs/advisor/get-started-guide/2023-1/overview.html,,,,,,KyRIC,https://ukyrcd.atlassian.net/wiki/spaces/UKYHPCDocs/pages/15762776/HPC+Software+Info
AI,Bridges-2,service,environment,,,,,https://www.psc.edu/resources/software/ai/,,,,,,OOKAMI,https://www.stonybrook.edu/commcms/ookami/support/faq/software_on_ookami
aiohttp,ACES,library,networking,,,aiohttp is an asynchronous HTTP Client/Server for asyncio and Python. Description Source=https://docs.aiohttp.org/en/stable/,https://docs.aiohttp.org/en/stable/,https://docs.aiohttp.org/en/stable/,,,, ,,Rockfish,https://www.arch.jhu.edu/support/software/
all-architectures,OOKAMI,,,,,,,,,,,,,Stampede2,https://tacc.utexas.edu/use-tacc/software-list/
alpha-analysis,Rockfish,,,,,,,,,,,,,Stampede3,https://tacc.utexas.edu/use-tacc/software-list/
