Software,RP Name,Software Type,Software Class,Research Area,Research Discipline,Software Description,Software's Web Page,Software Documentation/Link,RP Software Documentation
7z,OOKAMI,service,,,,7-Zip is a file archiver with a high compression ratio. Description Source:https://www.7-zip.org/,https://www.7-zip.org/,https://www.7-zip.org/,
Abaqus,"Stampede-2, DARWIN, Rockfish",application,simulation,Engineering,Mechanical Engineering,"Abaqus is a software suite for finite element analysis and computer-aided engineering, primarily used in engineering and design fields for simulating the behavior of structures and materials under various conditions. It offers advanced capabilities for modeling, analysis, and visualization, making it a powerful tool for solving complex engineering challenges.",https://www.3ds.com/products/simulia/abaqus,https://www.3ds.com/support/documentation/user-guides,"Stampede-2: https://tacc.utexas.edu/use-tacc/software-list/ ,  DARWIN: https://docs.hpc.udel.edu/software/abaqus/abaqus"
abinit,"Bridges-2, Rockfish",application,materials science,Engineering,,"ABINIT is a software suite to calculate the optical, mechanical, vibrational, and other observable properties of materials. Starting from the quantum equations of density functional theory, you can build up to advanced applications with perturbation theories based on DFT, and many-body Green's functions (GW and DMFT). Description Source:https://www.abinit.org/",https://www.abinit.org/,https://docs.abinit.org/tutorial/,Bridges-2: https://www.psc.edu/resources/software/abinit
Abseil,ACES,library,,,,Abseil is an open source collection of C++ libraries drawn from the most fundamental pieces of Google’s internal codebase. These libraries are the nuts-and-bolts that underpin almost everything Google runs. Description Source:https://abseil.io/about/,https://abseil.io/,https://abseil.io/docs/,ACES: https://hprc.tamu.edu/software/aces/
ABySS,Bridges-2,application,bioinformatics,Sciences,Biology,"ABySS is a de novo, parallel, paired-end sequence assembler that is designed for short reads. The single-processor version is useful for assembling genomes up to 100 Mbases in size. The parallel version is implemented using MPI and is capable of assembling larger genomes. Description Source:https://www.bcgsc.ca/resources/software/abyss",https://www.bcgsc.ca/resources/software/abyss,,Bridges-2: https://www.psc.edu/resources/software/abyss
accessusage,"Expanse, Delta",service,developer support,,,,,https://software.xsede.org/packaged-software/access-usage-accessusage,
ACTC,ACES,application,modeling,,,"ACTC is a graphics optimization tool that enhances the rendering efficiency of 3D models by restructuring their geometric data. It's particularly useful in applications using OpenGL and Direct3D, where it can significantly improve rendering speed and reduce computational load. Description Source:https://plunk.org/~grantham/public/actc/README",https://plunk.org/~grantham/public/actc/,https://plunk.org/~grantham/public/actc/manual.html,ACES: https://hprc.tamu.edu/software/aces/
adcirc,Stampede-2,application,"simulation, modeling",Engineering,Engineering,"ADCIRC is a system of computer programs for solving time dependent, free surface circulation and transport problems in two and three dimensions. Description Source:https://adcirc.org/",https://adcirc.org/,https://adcirc.org/home/documentation/users-manuals-compile-options-faqs-wiki/,Stampede-2: https://tacc.utexas.edu/use-tacc/software-list/
advisor,"Stampede-2, KyRIC",service,performance analysis,,,"Intel Advisor is a performance analysis tool designed to help developers optimize and parallelize their software on Intel architectures. It provides insights for efficient vectorization, threading, and offloading to accelerators, aiding in achieving maximum performance from applications.",https://www.intel.com/content/www/us/en/developer/tools/oneapi/advisor.html,https://www.intel.com/content/www/us/en/docs/advisor/get-started-guide/2023-1/overview.html,Stampede-2: https://tacc.utexas.edu/use-tacc/software-list/
AI,Bridges-2,service,environment,,,,,https://www.psc.edu/resources/software/ai/,Bridges-2: https://www.psc.edu/resources/software/ai
aiohttp,ACES,library,networking,,,aiohttp is an asynchronous HTTP Client/Server for asyncio and Python. Description Source:https://docs.aiohttp.org/en/stable/,https://docs.aiohttp.org/en/stable/,https://docs.aiohttp.org/en/stable/,ACES: https://hprc.tamu.edu/software/aces/
all-architectures,OOKAMI,,,,,,,,
alpha-analysis,Rockfish,,,,,,,,
AlphaFold,ACES,application,"modeling, bioinformatics",Sciences,"Chemistry, Biology","AlphaFold, the state-of-the-art AI system developed by DeepMind, is able to computationally predict protein structures with unprecedented accuracy and speed. Description Source:https://alphafold.ebi.ac.uk/about ",https://alphafold.ebi.ac.uk/,https://github.com/google-deepmind/alphafold,ACES: https://hprc.tamu.edu/software/aces/
alphafold-gpu,Rockfish,application,"modeling, bioinformatics",Sciences,"Chemistry, Biology","AlphaFold, the state-of-the-art AI system developed by DeepMind, is able to computationally predict protein structures with unprecedented accuracy and speed. Description Source:https://alphafold.ebi.ac.uk/about ",https://alphafold.ebi.ac.uk/,https://github.com/google-deepmind/alphafold,
alphapulldown,Rockfish,application,"modeling, bioinformatics",Sciences,"Chemistry, Biology",AlphaPulldown is a Python package that streamlines protein-protein interaction screens and high-throughput modelling of higher-order oligomers using AlphaFold-Multimer. Description Source:https://github.com/KosinskiLab/AlphaPulldown/tree/main?tab=readme-ov-file,https://github.com/KosinskiLab/AlphaPulldown/tree/main?tab=readme-ov-file,https://github.com/KosinskiLab/AlphaPulldown/tree/main,
amask,Stampede-2,application,,,,"The amask tool exposes the process masks (affinity) of an application will have in a parallel environment, so that users can determine the cores/hardware-threads where each process is allowed to run.",https://github.com/TACC/amask,https://github.com/TACC/amask,Stampede-2: https://tacc.utexas.edu/use-tacc/software-list/
amber,"Bridges-2, Rockfish, Anvil",module,"simulation, bioinformatics",Sciences,Chemistry,Amber is a suite of biomolecular simulation programs together with Amber tools.,https://ambermd.org/,https://ambermd.org/doc12/Amber23.pdf,"Bridges-2: https://www.psc.edu/resources/software/amber ,  Anvil: https://www.rcac.purdue.edu/index.php/knowledge/applications/amber"
AMDuProf,"Expanse, Delta",,profiling tool,,,"AMD uProf (“MICRO-prof”) is a software profiling analysis tool for x86 applications running on Windows, Linux and FreeBSD operating systems and provides event information unique to the AMD “Zen”-based processors and AMD Instinct™ MI Series accelerators. AMD uProf enables the developer to better understand the limiters of application performance and evaluate improvements.",https://www.amd.com/en/developer/uprof.html,https://www.amd.com/content/dam/amd/en/documents/developer/uprof-v4.0-gaGA-user-guide.pdf,
anaconda,"Jetstream2, OOKAMI, Anvil, DARWIN, Bridges-2, Rockfish",application,"Python and R repo, AI",,,"Anaconda3 is a popular open-source distribution of Python and R for scientific computing, data science, and machine learning. It simplifies package management and deployment by bundling numerous libraries and tools, and it includes the conda package manager, which makes installing, running, and updating various packages and their dependencies convenient.",https://www.anaconda.com/,https://www.anaconda.com/," Anvil: https://www.rcac.purdue.edu/index.php/knowledge/applications/anaconda ,  DARWIN: https://docs.hpc.udel.edu/software/anaconda/anaconda ,  Bridges-2: https://www.psc.edu/resources/software/anaconda"
anaconda3,"Expanse, ACES, Rockfish",application,Python and R repo,,,"Anaconda3 is a popular open-source distribution of Python and R for scientific computing, data science, and machine learning. It simplifies package management and deployment by bundling numerous libraries and tools, and it includes the conda package manager, which makes installing, running, and updating various packages and their dependencies convenient.",https://www.anaconda.com/,https://docs.anaconda.com/index.html, ACES: https://hprc.tamu.edu/software/aces/
anaconda3_cpu,Delta,application,Python and R repo,,,"Anaconda3 is a popular open-source distribution of Python and R for scientific computing, data science, and machine learning. It simplifies package management and deployment by bundling numerous libraries and tools, and it includes the conda package manager, which makes installing, running, and updating various packages and their dependencies convenient.",https://www.anaconda.com/,https://docs.anaconda.com/index.html,
anaconda3_gpu,Delta,application,Python and R repo,,,"Anaconda3 is a popular open-source distribution of Python and R for scientific computing, data science, and machine learning. It simplifies package management and deployment by bundling numerous libraries and tools, and it includes the conda package manager, which makes installing, running, and updating various packages and their dependencies convenient.",https://www.anaconda.com/,https://docs.anaconda.com/index.html,
anaconda3_mi100,Delta,application,Python and R repo,,,"Anaconda3 is a popular open-source distribution of Python and R for scientific computing, data science, and machine learning. It simplifies package management and deployment by bundling numerous libraries and tools, and it includes the conda package manager, which makes installing, running, and updating various packages and their dependencies convenient.",https://www.anaconda.com/,https://docs.anaconda.com/index.html,
anaconda3_Rcpu,Delta,application,Python and R repo,,,"Anaconda3 is a popular open-source distribution of Python and R for scientific computing, data science, and machine learning. It simplifies package management and deployment by bundling numerous libraries and tools, and it includes the conda package manager, which makes installing, running, and updating various packages and their dependencies convenient.",https://www.anaconda.com/,https://docs.anaconda.com/index.html,
AnnotSV,Rockfish,package,,,,AnnotSV is a program for annotating and ranking structural variations from genomes of several organisms. Description Source:https://lbgi.fr/AnnotSV/Documentation/README.AnnotSV_latest.pdf,https://lbgi.fr/AnnotSV/,https://lbgi.fr/AnnotSV/Documentation/README.AnnotSV_latest.pdf,
ANSYS,"Stampede-2, Bridges-2, Rockfish",application,"simulation, modeling, engineering, fluid dynamics",Engineering,Mechanical Engineering,"ANSYS is an engineering simulation software used for testing and predicting the behavior of components and systems in various fields. It offers tools for finite element analysis (FEA), computational fluid dynamics (CFD), and other multiphysics simulations, enabling engineers to analyze performance, durability, and fluid dynamics under real-world conditions.",https://www.ansys.com/,,"Stampede-2: https://tacc.utexas.edu/use-tacc/software-list/ ,  Bridges-2: https://www.psc.edu/resources/software/ansys"
ANSYS-Fluent,DARWIN,application,"simulation, modeling, fluid dynamics",Engineering,Mechanical Engineering,"Fluent is a computational fluid dynamics (CFD) software for simulating and analyzing fluid flow, heat transfer, and chemical reactions, widely used in engineering and research fields. It offers advanced modeling capabilities and a user-friendly interface for complex fluid dynamics studies.",https://www.ansys.com/Products/Fluids/ANSYS-Fluent,,DARWIN: https://docs.hpc.udel.edu/software/ansys-fluent/ansys-fluent
ant,ACES,toolkit,,,,"Apache Ant is a Java library and command-line tool whose mission is to drive processes described in build files as targets and extension points dependent upon each other. The main known usage of Ant is the build of Java applications. Ant supplies a number of built-in tasks allowing to compile, assemble, test and run Java applications. Description Source:https://ant.apache.org/",https://ant.apache.org/,https://ant.apache.org/manual/,ACES: https://hprc.tamu.edu/software/aces/
ANTLR,ACES,toolkit,Compilers,,,"ANTLR (ANother Tool for Language Recognition) is a powerful parser generator for reading, processing, executing, or translating structured text or binary files. Description Source:https://www.antlr.org/",https://www.antlr.org/,,ACES: https://hprc.tamu.edu/software/aces/
aocc,"Expanse, OOKAMI, ACES, Delta",service,Compilers,,,"AOCC a set of production compilers optimized for software performance when running on AMD host processors using the AMD “Zen” core architecture.The AOCC compiler environment simplifies and accelerates development and tuning for x86 applications built with C, C++, and Fortran languages. Description Source:https://www.amd.com/en/developer/aocc.html ",https://www.amd.com/en/developer/aocc.html,https://www.amd.com/content/dam/amd/en/documents/developer/version-4-1-documents/aocc/aocc-4.1-user-guide.pdf, ACES: https://hprc.tamu.edu/software/aces/
AOCC Compiler,Jetstream2,service,Compilers,,,"AOCC a set of production compilers optimized for software performance when running on AMD host processors using the AMD “Zen” core architecture.The AOCC compiler environment simplifies and accelerates development and tuning for x86 applications built with C, C++, and Fortran languages. Description Source:https://www.amd.com/en/developer/aocc.html ",https://www.amd.com/en/developer/aocc.html,https://www.amd.com/content/dam/amd/en/documents/developer/version-4-1-documents/aocc/aocc-4.1-user-guide.pdf,
AOCL,Bridges-2,service,Compilers,,,AOCL is a set of numerical libraries optimized for AMD processors based on the AMD “Zen” core architecture and generations. The tuned implementations of industry-standard math libraries enable rapid development of scientific and high-performance computing applications. Description Source:https://www.amd.com/en/developer/aocl.html,https://www.amd.com/en/developer/aocl.html,https://www.amd.com/content/dam/amd/en/documents/developer/version-4-1-documents/aocl/aocl-4-1-user-guide.pdf,Bridges-2: https://www.psc.edu/resources/software/aocl
Apptainer,Jetstream2,applicaiton,Container management ,,,"Apptainer, formerly known as Singularity, is an open-source container platform designed to create portable and reproducible environments for scientific computing. It allows users to package applications, their dependencies, and data in a single container that can be run consistently across different computing environments. Description Source: https://apptainer.org/",https://apptainer.org/,https://apptainer.org/documentation/,
APR,ACES,library,,,,"APR (Apache Portable Runtime) is a library that provides a set of APIs designed to abstract away the details of the operating system, thereby offering a consistent interface for programming tasks across different platforms. It facilitates the development of portable applications by providing a standardized set of functions for network communication, file system access, and other system utilities, enhancing portability and reducing the complexity of handling OS-specific differences.",https://apr.apache.org/,https://apr.apache.org/docs/apr/1.7/modules.html,ACES: https://hprc.tamu.edu/software/aces/
APR-util,ACES,library,,,,"APR-util is a companion library to the Apache Portable Runtime (APR) that provides a set of additional utilities and interfaces for tasks such as database connectivity, XML parsing, and data structures management. It extends the core functionality of APR, offering developers a broader set of tools for building highly portable and scalable applications across different platforms.",https://apr.apache.org/,https://apr.apache.org/docs/apr-util/1.6/modules.html,ACES: https://hprc.tamu.edu/software/aces/
ArcGIS,DARWIN,application,"analysis, mapping",Engineering,Geography,"ArcGIS is a geographic information system (GIS) software for spatial data analysis and mapping, widely used in environmental, urban planning, and geospatial research. It allows for comprehensive management, analysis, and visualization of geographical data.",https://www.esri.com/en-us/arcgis/products/index,https://doc.arcgis.com/en/,DARWIN: https://docs.hpc.udel.edu/software/arcgis/arcgis
archspec,ACES,library,,,,"Archspec aims at providing a standard set of human-understandable labels for various aspects of a system architecture like CPU, network fabrics, etc. and APIs to detect, query and compare them. Description Source:https://github.com/archspec/archspec ",https://github.com/archspec/archspec,https://archspec.readthedocs.io/en/latest/,ACES: https://hprc.tamu.edu/software/aces/
aria2,Expanse,Utility,Data Transfer Tool,,,"aria2 is a utility for downloading files. The supported protocols are HTTP(S), FTP, SFTP, BitTorrent, and Metalink. aria2 can download a file from multiple sources/protocols and tries to utilize your maximum download bandwidth. Description Source:https://aria2.github.io/manual/en/html/aria2c.html",https://aria2.github.io/,https://aria2.github.io/manual/en/html/aria2c.html,
arial2,Rockfish,,Data Transfer Tool,,,,,,
arm,OOKAMI,,,,,,,,
arm-modules,OOKAMI,,,,,,,,
armadillo,"ACES, Delta, Rockfish",library,mathematics,Engineering,Mathematics,"Armadillo is a high quality linear algebra library (matrix maths) for the C++ language, aiming towards a good balance between speed and ease of use. It provides high-level syntax and functionality deliberately similar to Matlab. Description Source:https://arma.sourceforge.net/",https://arma.sourceforge.net/,https://arma.sourceforge.net/docs.html,ACES: https://hprc.tamu.edu/software/aces/
arpack,Stampede-2,library,mathematics,,Mathematics,ARPACK is a collection of Fortran77 subroutines designed to solve large scale eigenvalue problems. (This library is no longer maintained) Description Source:https://lacsi.rice.edu/software/arpak/default.htm,https://github.com/opencollab/arpack-ng,http://li.mit.edu/Archive/Activities/Archive/CourseWork/Ju_Li/MITCourses/18.335/Doc/ARPACK/Lehoucq97.pdf,Stampede-2: https://tacc.utexas.edu/use-tacc/software-list/
arpack-ng,"Anvil, ACES",library,mathematics,,Mathematics,ARPACK-NG is a collection of Fortran77 subroutines designed to solve large scale eigenvalue problems.,https://github.com/opencollab/arpack-ng,https://github.com/opencollab/arpack-ng/tree/master/DOCUMENTS,"Anvil: https://www.rcac.purdue.edu/index.php/knowledge/applications/arpack-ng ,  ACES: https://hprc.tamu.edu/software/aces/"
Arriba,Bridges-2,application,,,,Arriba is a command-line tool for the detection of gene fusions from RNA-Seq data. It was developed for the use in a clinical research setting. Description Source:https://github.com/suhrig/arriba,https://github.com/suhrig/arriba,https://arriba.readthedocs.io/en/latest/,Bridges-2: https://www.psc.edu/resources/software/arriba
Arrow,ACES,,,,,Apache Arrow is a development platform for in-memory analytics. It contains a set of technologies that enable big data systems to process and move data fast. Description Source:https://arrow.apache.org/docs/,https://arrow.apache.org/,https://arrow.apache.org/docs/,ACES: https://hprc.tamu.edu/software/aces/
asciinema,Bridges-2,application,,,,"asciinema is a suite of tools for recording, replaying, and sharing terminal sessions. Description Source:https://docs.asciinema.org/",https://asciinema.org/,https://docs.asciinema.org/,Bridges-2: https://www.psc.edu/resources/software/asciinema
ASE,ACES,,,,,"ASE is an Atomic Simulation Environment written in the Python programming language with the aim of setting up, steering, and analyzing atomistic simulations. Description Source:https://wiki.fysik.dtu.dk/ase/index.html",https://wiki.fysik.dtu.dk/ase/,https://wiki.fysik.dtu.dk/ase/tutorials/tutorials.html#ase,ACES: https://hprc.tamu.edu/software/aces/
